tier,leagueId,queue,name,date,summonerId,summonerName,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak
GRANDMASTER,f238e575-fb80-33d0-9945-df054bcf9b10,RANKED_SOLO_5x5,Zilean's Enforcers,2023-12-10,jutdRmTlNYEiSUBqzjZSxzzqs572tmYZn3QI2rl-c2PIpRcz1rrsqSXwaw,J G,415,I,342,315,False,False,True,False
GRANDMASTER,f238e575-fb80-33d0-9945-df054bcf9b10,RANKED_SOLO_5x5,Zilean's Enforcers,2023-12-10,vCpF3t61sG09aoWlxYlV2_35ea6wwQzbq6T2awZ_vNb5QTo,Afflictive,857,I,132,107,False,False,False,False
GRANDMASTER,f238e575-fb80-33d0-9945-df054bcf9b10,RANKED_SOLO_5x5,Zilean's Enforcers,2023-12-10,5TQaMqFh3dc2GK_xpHVzNpe1pzqVyHZyBDwrEmmNwY4-UI4,LOL Player,539,I,168,152,False,False,False,False
GRANDMASTER,f238e575-fb80-33d0-9945-df054bcf9b10,RANKED_SOLO_5x5,Zilean's Enforcers,2023-12-10,qtkLx0tj93REd0PuKSwbfoe6qyvtAt1lLgb7H5io3xmeV3nqv8V8j71aHg,MeHappyYouHappy,564,I,247,226,False,False,True,True
GRANDMASTER,f238e575-fb80-33d0-9945-df054bcf9b10,RANKED_SOLO_5x5,Zilean's Enforcers,2023-12-10,xWcm510QMNC8LbXo3HCq7QUcnQNnQ267aEN17S7uPlMMI04,gyu123987,601,I,149,125,False,False,False,True
GRANDMASTER,f238e575-fb80-33d0-9945-df054bcf9b10,RANKED_SOLO_5x5,Zilean's Enforcers,2023-12-10,yBM1_HL5_HM-fUQreshSbNvEgJy46K0y5oC7g0MZjQpBWox32h3qUEru-Q,Scarlet3,600,I,206,185,False,False,False,False
GRANDMASTER,f238e575-fb80-33d0-9945-df054bcf9b10,RANKED_SOLO_5x5,Zilean's Enforcers,2023-12-10,AvHw1ZU7DEGhGNJK6KcjuEq2IwYT_5aZLfkbLXGdUCcCbQM,Losing Focus,741,I,426,392,False,False,True,False
GRANDMASTER,f238e575-fb80-33d0-9945-df054bcf9b10,RANKED_SOLO_5x5,Zilean's Enforcers,2023-12-10,Je3Hr2NCwEYYCz4g94kC3A11I-KOLO0AkqJJGU75H431_aHP357713xCqA,twtv ChadJungle,674,I,90,68,False,False,False,False
GRANDMASTER,f238e575-fb80-33d0-9945-df054bcf9b10,RANKED_SOLO_5x5,Zilean's Enforcers,2023-12-10,4kg2jaG7vRSDTbL0Duefv6c2RfKXCsKhpoG6K6fNav8zVU1PbVq2FXZb5A,ignore me,722,I,120,78,False,False,False,False
GRANDMASTER,f238e575-fb80-33d0-9945-df054bcf9b10,RANKED_SOLO_5x5,Zilean's Enforcers,2023-12-10,-YBR8_K4W1Pezc-zE5Ikx4tw3y3uVWE5Y2qcrnCAdglE4xQ,plex123,564,I,365,347,False,False,False,False
GRANDMASTER,f238e575-fb80-33d0-9945-df054bcf9b10,RANKED_SOLO_5x5,Zilean's Enforcers,2023-12-10,VrcgJqIh7Z1TZK-aATmNMt9y9MLxS6KUCKn-8DH4zDaeJlA,kkgbyn,733,I,415,394,False,False,True,False
GRANDMASTER,f238e575-fb80-33d0-9945-df054bcf9b10,RANKED_SOLO_5x5,Zilean's Enforcers,2023-12-10,CezeZRDA6zt94UDk6XBXYQ6cqsLM97LuSE5wi7kTbnbqt6k,xHypoxia,657,I,222,188,False,False,False,False
GRANDMASTER,f238e575-fb80-33d0-9945-df054bcf9b10,RANKED_SOLO_5x5,Zilean's Enforcers,2023-12-10,clLEMlcoomqNgabG1sklFaow-oNOUVaVNwuHPZykMGDCj9U,Owen7,547,I,109,82,False,False,False,True
GRANDMASTER,f238e575-fb80-33d0-9945-df054bcf9b10,RANKED_SOLO_5x5,Zilean's Enforcers,2023-12-10,xPq9VUeuv_UWvp1t_7au7a0AOz9treQYiTgE888PcUpiQUQ,Principal,804,I,157,126,False,False,False,False
GRANDMASTER,f238e575-fb80-33d0-9945-df054bcf9b10,RANKED_SOLO_5x5,Zilean's Enforcers,2023-12-10,44Eadb-9xqglhBjeTdEaH5uJP0I6pj3y2pYZB0VGNH29l2M,Kammr,544,I,234,207,False,False,False,False
GRANDMASTER,f238e575-fb80-33d0-9945-df054bcf9b10,RANKED_SOLO_5x5,Zilean's Enforcers,2023-12-10,eURKbbSoCClSCfLAp9JXkmsjJM-gZ0e-Czvut4pf3aXcEn0,xGODGAMER,438,I,282,247,False,False,True,False
GRANDMASTER,f238e575-fb80-33d0-9945-df054bcf9b10,RANKED_SOLO_5x5,Zilean's Enforcers,2023-12-10,FduzdwKP9x1DYiR2tEwqw_7c_frmhXPMrCcEHOI0jOkSOS4,Cowfan,576,I,151,131,True,False,False,False
GRANDMASTER,f238e575-fb80-33d0-9945-df054bcf9b10,RANKED_SOLO_5x5,Zilean's Enforcers,2023-12-10,7HuycxrhazK6wHQk4MYzpNZRzhCtjuzcvyaPmPhOXXD4nEI,A Trusty Penguin,509,I,151,121,False,False,True,False
GRANDMASTER,f238e575-fb80-33d0-9945-df054bcf9b10,RANKED_SOLO_5x5,Zilean's Enforcers,2023-12-10,pvDVBoNE2YyMJuAdl-IqMvKlN3JjliSt5V_vJ0HOzjxwwBND,twtvDoglightning,614,I,181,155,False,False,False,False
GRANDMASTER,f238e575-fb80-33d0-9945-df054bcf9b10,RANKED_SOLO_5x5,Zilean's Enforcers,2023-12-10,lqsuIDf06ubLsR3uy-ebNhdtHtDUuD0zsijIsMGYIoJUBjM,Somia,582,I,165,140,False,False,True,False
GRANDMASTER,f238e575-fb80-33d0-9945-df054bcf9b10,RANKED_SOLO_5x5,Zilean's Enforcers,2023-12-10,bNtiLSesqazgaglJM3cAmG9AqqE07eEbAMqTs833tUsO63s,Witnesss Me,614,I,70,45,False,False,False,False
GRANDMASTER,f238e575-fb80-33d0-9945-df054bcf9b10,RANKED_SOLO_5x5,Zilean's Enforcers,2023-12-10,K0l6SLk5DJB_VTzetvzKHLgo8iRyjjzyFSQ-ZXPCFBQZsEyP,Tåylor Swift,552,I,49,28,False,False,True,False
